"rank","country","imfGDP","unGDP","gdpPerCapita","pop"
72,"Ghana",72264000000,42793869465,"2325.6248","31072.9400"
145,"Eritrea",8116000000,5413804303,"2288.5044","3546.4210"
41,"Bangladesh",343279000000,220836732893,"2084.4027","164689.3830"
139,"Republic of the Congo",11367000000,7778081883,"2059.9530","5518.0870"
61,"Kenya",109116000000,70525979046,"2029.2611","53771.2960"
90,"Ivory Coast",49882000000,36767790205,"1891.0259","26378.2740"
209,"Sudan",0,82887395895,"1890.2804","43849.2600"
136,"Nicaragua",12459000000,13230214875,"1880.7304","6624.5540"
103,"Cambodia",29309000000,20016747858,"1753.0391","16718.9650"
108,"Zimbabwe",25812000000,16123763648,"1736.6704","14862.9240"
105,"Senegal",28062000000,14604520531,"1675.9509","16743.9270"
87,"Uzbekistan",55482000000,67778902435,"1657.7031","33469.2030"
188,"Kiribati",196000000,173655146,"1640.8677","119.4490"
95,"Cameroon",42047000000,32217073816,"1583.9380","26545.8630"
110,"Zambia",25272000000,21063063977,"1374.6770","18383.9550"
163,"Lesotho",2892000000,2241017076,"1349.9831","2142.2490"
143,"Kyrgyzstan",8781000000,6551291140,"1345.9132","6524.1950"
74,"Myanmar",71403000000,65697616068,"1312.3187","54409.8000"
206,"Pakistan",0,282506007859,"1278.9308","220892.3400"
210,"Syria",0,22163075121,"1266.4138","17500.6580"
151,"Mauritania",5697000000,4667119320,"1225.2514","4649.6580"
101,"Nepal","33035000000.0000",20914004957,"1133.7893","29136.8080"
76,"Tanzania","64888000000.0000",0,"1086.2786","59734.2180"
102,"Yemen",31385000000,25374086438,"1052.2711","29825.9640"
132,"Guinea",13603000000,8476136811,"1035.8039","13132.7950"
138,"Benin",12129000000,8893638002,"1000.4784","12123.2000"
117,"Mali",19332000000,14001696748,"954.6274","20250.8330"
181,"Comoros",773000000,1149802573,"888.9134","869.6010"
64,"Ethiopia",99371000000,70314560872,"864.3693","114963.5880"
140,"Rwanda",11062000000,8473784827,"854.0622","12952.2180"
174,"Guinea-Bissau",1669000000,1122643236,"848.0687","1968.0010"
142,"Haiti",9648000000,7647347306,"846.1282","11402.5280"
147,"Tajikistan",7838000000,6951679338,"821.7962","9537.6450"
124,"Burkina Faso","16266000000.0000",11695117109,"778.1557","20903.2730"
170,"Gambia",1870000000,985831536,"773.7927","2416.6680"
135,"Chad",12547000000,11267295771,"763.8563","16425.8640"
149,"Togo",6132000000,4449262345,"740.6939","8278.7240"
99,"Uganda","33620000000.0000",25307842467,"735.0079","45741.0070"
199,"North Korea",0,16788601831,"651.2557","25778.8160"
160,"Liberia",3217000000,2756817825,"636.0623","5057.6810"
88,"DR Congo",52475000000,40337492609,"585.9109","89561.4030"
116,"Afghanistan",20682000000,20235063330,"531.2838","38928.3460"
156,"Sierra Leone",4221000000,3674756785,"529.1474","7976.9830"
144,"Somalia","8341000000.0000",1318057519,"524.8149","15893.2220"
123,"Mozambique",16294000000,10930131568,"521.3173","31255.4350"
166,"Central African Republic",2485000000,1810388740,"514.5176","4829.7670"
133,"Madagascar",13542000000,11222263845,"489.0394","27691.0180"
141,"Niger",10628000000,7528285819,"439.0530","24206.6440"
146,"Malawi",7861000000,5318197658,"410.9263","19129.9520"
158,"Burundi",3714000000,2873699606,"312.3427","11890.7840"
164,"South Sudan",2796000000,6534451826,"249.7828","11193.7250"
