confirmed_id,country,date,confirmed_total
305,Iceland,1/23/20,0
306,Peru,1/23/20,0
307,Israel,1/23/20,0
308,Egypt,1/23/20,0
309,Spain,1/23/20,0
310,Dominica,1/23/20,0
311,Nepal,1/23/20,0
312,Jordan,1/23/20,0
313,Trinidad and Tobago,1/23/20,0
314,Guyana,1/23/20,0
315,Cameroon,1/23/20,0
316,Cote d'Ivoire,1/23/20,0
317,Liberia,1/23/20,0
318,Lithuania,1/23/20,0
319,Niger,1/23/20,0
320,Uruguay,1/23/20,0
321,Cuba,1/23/20,0
322,Ecuador,1/23/20,0
323,Mali,1/23/20,0
324,Indonesia,1/23/20,0
325,Gabon,1/23/20,0
326,BelarUnited States,1/23/20,0
327,Armenia,1/23/20,0
328,Saint Lucia,1/23/20,0
329,Latvia,1/23/20,0
330,Malta,1/23/20,0
331,Comoros,1/23/20,0
332,Viet Nam,1/23/20,2
333,Ghana,1/23/20,0
334,Paraguay,1/23/20,0
335,MS Zaandam,1/23/20,0
336,Estonia,1/23/20,0
337,Brazil,1/23/20,0
338,El Salvador,1/23/20,0
339,Tajikistan,1/23/20,0
340,Switzerland,1/23/20,0
341,Poland,1/23/20,0
342,India,1/23/20,0
343,Burundi,1/23/20,0
344,Chad,1/23/20,0
345,Ukraine,1/23/20,0
346,Rwanda,1/23/20,0
347,Yemen,1/23/20,0
348,Afghanistan,1/23/20,0
349,Kyrgyzstan,1/23/20,0
350,Tunisia,1/23/20,0
351,Singapore,1/23/20,1
352,Zimbabwe,1/23/20,0
353,Angola,1/23/20,0
354,Guinea,1/23/20,0
355,Sierra Leone,1/23/20,0
356,United Kingdom,1/23/20,0
357,Canada,1/23/20,0
358,China,1/23/20,643
359,Timor-Leste,1/23/20,0
360,Lebanon,1/23/20,0
361,United Republic of Tanzania,1/23/20,0
362,Iraq,1/23/20,0
363,CyprUnited States,1/23/20,0
364,Holy See (Vatican City),1/23/20,0
365,Saint Kitts and Nevis,1/23/20,0
366,Western Sahara,1/23/20,0
367,Norway,1/23/20,0
368,Bulgaria,1/23/20,0
369,Qatar,1/23/20,0
370,Suriname,1/23/20,0
371,Portugal,1/23/20,0
372,Liechtenstein,1/23/20,0
373,Finland,1/23/20,0
374,Slovenia,1/24/20,0
375,United States,1/24/20,2
376,Ethiopia,1/24/20,0
377,Iran (Islamic Republic of),1/24/20,0
378,Bolivia,1/24/20,0
379,Colombia,1/24/20,0
380,Republic of Moldova,1/24/20,0
381,Japan,1/24/20,2
382,Mongolia,1/24/20,0
383,Zambia,1/24/20,0
384,Taiwan,1/24/20,3
385,Jamaica,1/24/20,0
386,Cambodia,1/24/20,0
387,Argentina,1/24/20,0
388,Costa Rica,1/24/20,0
389,Malaysia,1/24/20,0
390,Senegal,1/24/20,0
391,Congo (Kinshasa),1/24/20,0
392,Belize,1/24/20,0
393,Andorra,1/24/20,0
394,Madagascar,1/24/20,0
395,Bahrain,1/24/20,0
396,Hungary,1/24/20,0
397,Haiti,1/24/20,0
398,Equatorial Guinea,1/24/20,0
399,Romania,1/24/20,0
400,Bosnia and Herzegovina,1/24/20,0
401,MauritiUnited States,1/24/20,0
402,Honduras,1/24/20,0
403,Saudi Arabia,1/24/20,0
